node,node_dc,latitude,longitude,urban_group,air_region,airport_name
LPF,0.073563,26.602572,104.972842,none,none,六盘水月照
HSN,0.073563,29.932602,122.364994,yrd,none,舟山普陀山
HJJ,0.073563,27.442036,109.709861,none,none,怀化芷江
NZH,0.071264,49.569633,117.337784,none,none,满洲里西郊
WUS,0.068966,27.698972,118.004959,none,none,武夷山武夷山
MXZ,0.068966,24.268999,116.103996,none,none,梅县长岗岌
ENH,0.068966,30.320278,109.485001,none,none,恩施许家坪
JGS,0.068966,26.853279,114.742649,none,none,井冈山井冈山
WEF,0.066667,36.646822,119.122362,none,none,潍坊潍坊
MDG,0.064368,44.52,129.559998,none,none,牡丹江海浪
UCB,0.064368,41.127163,113.117591,none,none,乌兰察布集宁
KRY,0.064368,45.46725,84.956487,none,none,克拉玛依克拉玛依
HYN,0.064368,28.559344,121.430963,yrd,none,台州路桥
KHG,0.064368,39.541251,76.024599,none,none,喀什喀什
LLV,0.064368,37.684589,111.148478,none,none,吕梁大武
DAX,0.064368,31.135012,107.426888,none,none,达州河市
XIC,0.062069,27.983669,102.186692,none,none,西昌青山
TLQ,0.05977,43.03159,89.102437,none,none,吐鲁番交河
HMI,0.05977,42.843005,93.664048,none,none,哈密哈密
HLH,0.05977,46.200408,122.007318,none,none,乌兰浩特义勒力特
KJH,0.05977,26.972769,107.990529,none,none,凯里黄平
CIF,0.05977,42.159704,118.846745,none,none,赤峰玉龙
YNJ,0.05977,42.885662,129.439362,none,none,延吉朝阳川
AQG,0.05977,30.580776,117.055412,none,none,安庆安庆
BPE,0.055172,39.667458,119.067308,bth,none,秦皇岛北戴河
TCZ,0.055172,24.939379,98.482025,none,none,腾冲驼峰
JDZ,0.055172,29.336129,117.181706,none,none,景德镇罗家
AVA,0.055172,26.25699,105.8774,none,none,安顺黄果树
JIQ,0.050575,29.5175,108.82917,none,none,黔江武陵山
BSD,0.050575,25.055182,99.16143,none,none,保山云瑞
ENY,0.050575,36.475595,109.476005,none,none,延安南泥湾
DQA,0.050575,46.748684,125.139725,none,none,大庆萨尔图
LLF,0.050575,26.338661,111.610046,none,none,永州零陵
IQN,0.050575,35.802506,107.604593,none,none,庆阳庆阳
YKH,0.048276,40.540833,122.35833,none,none,营口兰旗
JMU,0.048276,46.845709,130.470506,none,none,佳木斯东郊
ZQZ,0.045977,40.74646,114.955452,bth,none,张家口宁远
WUA,0.045977,39.794299,106.805038,none,none,乌海乌海
WGN,0.045977,26.801329,110.645745,none,none,邵阳武冈
AKU,0.045977,41.263252,80.293103,none,none,阿克苏温宿
JUH,0.045977,30.738176,117.690942,yrd,none,池州九华山
ZAT,0.045977,27.323463,103.757591,none,none,昭通昭通
XAI,0.045977,32.539168,114.083454,none,none,信阳明港
LZY,0.041379,29.301565,94.336061,none,none,林芝米林
SHF,0.041379,44.243677,85.895281,none,none,石河子花园
RLK,0.041379,40.927157,107.744545,none,none,巴彦淖尔天吉泰
ERL,0.041379,43.426714,112.099704,none,none,二连浩特赛乌素
FUO,0.041379,23.080913,113.075983,prd,none,佛山沙堤
YSQ,0.041379,44.93954,124.557144,none,none,松原查干湖
AAT,0.041379,47.751758,88.0869,none,none,阿勒泰阿勒泰
SQD,0.041379,28.376586,117.968625,none,none,上饶三清山
DNH,0.041379,40.163706,94.807859,none,none,敦煌敦煌
NDG,0.03908,47.24241,123.924645,none,none,齐齐哈尔三家子
JNZ,0.036782,40.936111,121.276947,none,none,锦州锦州湾
LUM,0.036782,24.399322,98.532412,none,none,德宏芒市
AXF,0.036782,38.833507,105.668991,none,none,阿拉善左旗巴彦浩特
JUZ,0.036782,28.962971,118.901832,none,none,衢州衢州
JGN,0.036782,39.861578,98.341392,none,none,嘉峪关嘉峪关
DIG,0.036782,27.789482,99.679921,none,none,迪庆香格里拉
HTN,0.036782,37.038007,79.868983,none,none,和田和田
AEB,0.032184,23.718051,106.964852,none,none,百色巴马
TCG,0.032184,46.67251,83.346901,none,none,塔城塔城
LLB,0.032184,25.447687,107.966151,none,none,黔南州荔波
YIE,0.027586,46.200408,122.007318,none,none,阿尔山伊尔施
GYS,0.027586,32.388634,105.699621,none,none,广元盘龙
PZI,0.027586,26.534456,101.799265,none,none,攀枝花保安营
LCX,0.027586,25.673066,116.751646,none,none,连城冠豸山
GXH,0.027586,34.82166,102.622647,none,none,甘南夏河
SQJ,0.027586,26.422368,117.840008,none,none,三明沙县
XIL,0.025287,43.913873,115.966246,none,none,锡林浩特锡林浩特
JIC,0.022989,38.541918,102.35054,none,none,金昌金川
HZH,0.022989,26.318645,109.155032,none,none,黎平黎平
JXA,0.022989,45.296389,131.199125,none,none,鸡西兴凯湖
AOG,0.022989,41.106456,122.860605,none,none,鞍山腾鳌
LNL,0.022989,33.787803,105.795013,none,none,陇南成县
THQ,0.022989,34.558077,105.864711,none,none,天水麦积山
SYM,0.022989,22.79102,100.96042,none,none,普洱思茅
CDE,0.022989,41.122501,118.073891,none,none,承德普宁
ZHY,0.022989,37.573264,105.158118,none,none,中卫香山
CHG,0.02069,41.541983,120.44019,none,none,朝阳朝阳
AHJ,0.018391,32.526648,102.359218,none,none,阿坝红原
NZL,0.018391,47.869621,122.768601,none,none,扎兰屯成吉思汗
BPL,0.018391,44.898289,82.303693,none,none,博乐阿拉山口
BPX,0.018391,30.548892,97.111194,none,none,昌都邦达
GYU,0.018391,36.078195,106.222016,none,none,固原六盘山
QSZ,0.018391,38.245878,77.062712,none,none,莎车莎车
DCY,0.018391,29.312192,100.063381,none,none,稻城亚丁
WNH,0.018391,23.556375,104.328079,none,none,文山普者黑
LDS,0.018391,27.803333,114.30806,none,none,伊春林都
JGD,0.018391,50.374258,124.124526,none,none,加格达奇加格达奇
DDG,0.018391,40.025551,124.286598,none,none,丹东浪头
KCA,0.018391,41.679452,82.875522,none,none,库车龟兹
TNH,0.018391,42.032771,125.790631,none,none,通化三源浦
KGT,0.018391,30.140162,101.741137,none,none,甘孜康定
HUO,0.016092,45.48492,119.41546,none,none,霍林河霍林河
YUS,0.013793,32.839466,97.037788,none,none,玉树巴塘
DBC,0.013793,45.508143,123.026293,none,none,白城长安
NLT,0.013793,43.433139,83.380912,none,none,那拉提那拉提
YZY,0.013793,38.805064,100.671783,none,none,张掖甘州
HEK,0.013793,50.179364,127.320183,none,none,黑河黑河
OHE,0.013793,52.918043,122.432117,none,none,漠河古莲
JMJ,0.013793,22.41192,99.789519,none,none,澜沧景迈
HTT,0.013793,37.129769,97.266855,none,none,海西花土沟
RKZ,0.013793,29.348303,89.313836,none,none,日喀则日喀则
NLH,0.013793,27.540396,100.759709,none,none,宁蒗泸沽湖
JSJ,0.009195,47.111009,132.672883,none,none,建三江湿地
NGQ,0.009195,32.099597,80.055558,none,none,阿里昆莎
LNJ,0.009195,23.736707,100.02549,none,none,临沧临沧
KJI,0.009195,48.222971,87.000724,none,none,布尔津喀纳斯
FYJ,0.009195,48.206004,134.371681,none,none,抚远东极
HXD,0.009195,37.129769,97.266855,none,none,海西德令哈
CWJ,0.009195,23.264479,99.367726,none,none,沧源佤山
GOQ,0.009195,36.401596,94.788436,none,none,格尔木格尔木
JZH,0.009195,32.851353,103.685263,none,none,九寨黄龙
YYA,0.009195,29.310258,113.280938,none,none,岳阳三荷
RQA,0.009195,38.973102,88.01569,none,none,若羌楼兰
IQM,0.009195,38.144079,85.535451,none,none,且末且末
FYN,0.006897,47.751758,88.0869,none,none,富蕴可可托海
XYI,0.004598,16.829044,112.34076,none,none,三沙永兴
DTU,0.004598,48.447837,126.132337,none,none,五大连池德都
HCJ,0.004598,24.801072,107.715025,none,none,河池金城江
RHT,0.004598,39.225406,101.546915,none,none,阿拉善右旗巴丹吉林
EJN,0.004598,42.014143,101.002862,none,none,额济纳旗桃来
GMQ,0.004598,34.419851,100.302977,none,none,果洛果洛
HPG,0.004598,31.635114,110.344673,none,none,神农架红坪
HBQ,0.004598,38.013309,100.651566,none,none,祁连祁连
TWC,0.004598,39.874877,79.0841,none,none,图木舒克唐王城
